settle_dt,settle_trans_at-count,settle_trans_at-sum
20171001,578,24997167
20171002,419,5491119
20171003,395,4882622
20171004,371,4681753
20171005,344,4425278
20171006,499,22020174
20171007,3246,96049310
20171008,580,22471614
20171009,5617,164117007
20171010,348,3855532
20171011,404,4932212
20171012,386,4584678
20171013,568,21539388
20171014,4245,125976113
20171015,692,24586787
20171016,373,4302649
20171017,394,4370626
20171018,441,5095538
20171019,497,5569287
20171020,621,25073749
20171021,4064,128732172
20171022,723,26209246
20171023,448,4647083
20171024,440,4468718
20171025,500,4633123
20171026,431,4706086
20171027,614,23235262
20171028,3878,129190722
20171029,790,24732678
20171030,477,6651364
20171031,505,5349005
20171101,462,4497688
20171102,434,4362431
20171103,625,21737830
20171104,3816,133275708
20171105,792,23317113
20171106,469,4556556
20171107,525,4423444
20171108,501,4675748
20171109,5325,188558429
20171110,2241,97373891
20171111,5600,223188849
20171112,1567,39432648
20171113,526,5651349
20171114,412,4159868
20171115,484,5021780
20171116,455,5011733
20171117,615,21888714
20171118,3455,120390237
20171119,817,25585035
20171120,474,5059996
20171121,447,3967470
20171122,525,5225993
20171123,787,7858585
20171124,1621,30615569
20171125,5305,127664014
20171126,2396,34721888
20171127,2000,13785574
20171128,2014,13118332
20171129,2225,17259630
20171130,2257,15949351
