settle_dt,mchnt_cd,acq_ins_cd,iss_ins_cd,at_seg,tm_hour_seg,card_media,card_attr,card_rank,hce_prod_nm,settle_trans_at,00_trans_cnt
20171012,898440159771019,48025800,03080010,01,9,4,02,,Z,490,1
20171012,898440159771636,48025800,03081000,02,6,4,01,,Z,6080,1
20171012,898440159771636,48025800,03090000,03,8,4,01,,Z,15900,1
20171012,898440159771654,48025800,01058500,03,5,4,01,,Z,27970,1
20171012,898440159771814,48025800,01020000,01,9,4,01,,Z,1000,1
20171012,898440159771823,48025800,01040000,03,7,4,02,,Z,12970,1
20171012,898440159771839,48025800,03080010,02,8,4,02,,Z,6530,1
20171012,898440159771850,48025800,03050001,02,6,4,02,,Z,6240,1
20171012,898440159771865,48025800,63100000,03,8,4,02,,Z,16800,1
20171012,898440159771933,48025800,01035200,03,6,4,01,,Z,11380,1
20171012,898440159771968,48025800,03013010,03,4,4,01,,Z,14790,1
20171012,898440159772016,48025800,01020000,02,6,4,01,,Z,5990,1
20171012,898440159772179,48025800,04031000,02,8,4,01,,Z,6070,1
20171012,898440159772195,48025800,01020000,02,6,4,01,,Z,6900,1
20171012,898440159772246,48025800,03080010,02,9,4,02,,Z,6730,1
20171012,898440159772254,48025800,03080010,02,8,4,02,,Z,6050,1
20171012,898440159772287,48025800,01030001,02,6,4,02,,Z,7960,1
20171012,898440159772338,48025800,63100000,02,7,4,02,,Z,6360,1
20171012,898440159772486,48025800,01042200,02,6,4,01,,Z,6740,1
20171012,898440159772660,48025800,01051900,02,6,4,01,,Z,6900,1
20171012,898440159772806,48025800,01040000,02,8,4,02,,Z,6210,1
20171012,898440159772868,48025800,01055800,03,9,4,01,,Z,23600,1
20171012,898440159772939,48025800,63100000,02,6,4,02,,Z,6040,1
20171012,898440159773089,48025800,01056500,02,3,4,01,,Z,6400,1
20171012,898440159773115,48025800,01046500,01,5,4,01,,Z,4180,1
20171012,898440159773115,48025800,01056500,03,4,4,01,,Z,12900,1
20171012,898440159773119,48025800,01046500,03,8,4,01,,Z,16310,1
20171012,898440159773133,48025800,03080010,02,8,4,02,,Z,7680,1
20171012,898440159773292,48025800,03060000,02,8,4,02,,Z,6290,1
20171012,898440159773296,48025800,01046100,02,5,4,01,,Z,6040,1
20171012,898440159773365,48025800,03080000,01,7,4,01,,Z,780,1
20171012,898440159773382,48025800,63040000,03,6,4,02,,Z,13880,1
20171012,898440159773392,48025800,01046100,02,7,4,01,,Z,6810,1
20171012,898440159773405,48025800,01035550,01,8,4,01,,Z,3230,1
20171012,898440159773488,48025800,01055500,02,8,4,01,,Z,6050,1
20171012,898440159773539,48025800,03060000,01,8,4,02,,Z,1800,1
20171012,898440159773584,48025800,03080010,01,9,4,02,,Z,4800,1
20171012,898440159773600,48025800,01030000,02,7,4,01,,Z,6500,1
20171012,898440159773642,48025800,61000000,01,8,4,02,,Z,4790,1
20171012,898440159773652,48025800,01020000,02,6,4,01,,Z,6180,1
20171012,898440159773686,48025800,01020000,02,5,4,01,,Z,7800,1
20171012,898440159773711,48025800,03015810,03,9,4,02,,Z,13420,1
20171012,898440159773745,48025800,03080010,03,7,4,02,,Z,18800,1
20171012,898440159773779,48025800,48179100,02,9,4,01,,Z,6380,1
20171012,898440159773797,48025800,14055810,01,10,4,01,,Z,4900,1
20171012,898440159774002,48025800,03080000,03,8,4,01,,Z,14900,1
20171012,898440159774050,48025800,63100000,02,4,4,02,,Z,6890,1
20171106,898440159771606,48025800,01051000,01,3,4,01,,Z,288,1
20171106,898440159771606,48025800,03080010,03,9,4,02,,Z,10241,1
20171106,898440159771647,48025800,01051000,02,4,4,01,,Z,8700,1
20171106,898440159771647,48025800,03011000,03,4,4,01,,Z,14535,1
20171106,898440159771806,48025800,01055200,01,8,4,01,,Z,299,1
20171106,898440159771822,48025800,01055200,01,8,4,01,,Z,210,1
20171106,898440159771822,48025800,01055200,02,8,4,01,,Z,7143,1
20171106,898440159771831,48025800,01055200,01,7,4,01,,Z,2941,1
20171106,898440159771832,48025800,03060000,01,8,4,02,,Z,2597,1
20171106,898440159771833,48025800,01020000,02,6,4,01,,Z,8403,1
20171106,898440159771834,48025800,03080000,01,5,4,01,,Z,654,1
20171106,898440159771836,48025800,01055200,01,8,4,01,,Z,2259,2
