settle_dt,settle_trans_at-count,settle_trans_at-sum
20171001,2206,18420773
20171002,2295,19611315
20171003,2371,21164084
20171004,2144,20593925
20171005,2193,20476479
20171006,1947,20782192
20171007,2446,24004180
20171008,1675,21196974
20171009,694,3396444
20171010,725,3222939
20171011,741,3384264
20171012,760,3512055
20171013,777,3608946
20171014,2477,7815692
20171015,684,2679136
20171016,741,3552095
20171017,769,3879253
20171018,771,3622845
20171019,811,4003865
20171020,789,3720995
20171021,2880,9326638
20171022,734,3254502
20171023,766,3781001
20171024,781,3736838
20171025,812,3976102
20171026,794,3885078
20171027,831,4263912
20171028,3232,10857408
20171029,746,3206146
20171030,1013,5608858
20171031,1177,5688007
20171101,2959,15938132
20171102,3308,19169138
20171103,3370,22191348
20171104,4322,28959065
20171105,3516,21683146
20171106,3431,23970757
20171107,3910,26407203
20171108,3865,29023995
20171109,4032,30274384
20171110,3583,30393260
20171111,4548,37594140
20171112,3704,29805171
20171113,3905,32264180
20171114,4161,37359271
20171115,4516,36965163
20171116,4631,40006185
20171117,2165,20513075
20171118,3405,26742199
20171119,1614,15755067
20171120,1644,18856838
20171121,1476,17105072
20171122,1677,19120448
20171123,1478,16708163
20171124,1688,18433640
20171125,2574,20481696
20171126,1626,15847435
20171127,1632,17218846
20171128,2708,40837695
20171129,1222,8801484
20171130,1309,8332310
