settle_dt,settle_trans_at-count,settle_trans_at-sum
20171001,5010,42083308
20171002,4332,33213503
20171003,3780,28424350
20171004,3555,24898966
20171005,3994,30809229
20171006,4802,34371500
20171007,6017,40880085
20171008,7439,52300882
20171009,163,1501360
20171010,61,549050
20171011,65,694660
20171012,47,403410
20171013,40,465770
20171014,6466,45128820
20171015,864,10371980
20171016,34,484360
20171017,24,247530
20171018,20,205894
20171019,19,103633
20171020,24,195880
20171021,84,864820
20171022,61,790330
20171023,28,324120
20171024,26,383334
20171025,38,500860
20171026,36,652070
20171027,40,617260
20171028,81,1205660
20171029,61,810240
20171030,34,426360
20171031,34,496170
20171101,81,419945
20171102,111,510413
20171103,214,1722427
20171104,282,1937200
20171105,468,4227829
20171106,234,1654040
20171107,242,978271
20171108,228,1132147
20171109,336,3103092
20171110,410,3378135
20171111,612,5763394
20171112,578,5087236
20171113,162,799361
20171114,119,594178
20171115,375,3559616
20171116,139,730321
20171117,139,734705
20171118,179,1014633
20171119,191,789219
20171120,158,586271
20171121,129,595496
20171122,163,1040505
20171123,195,991223
20171124,186,965756
20171125,237,1293971
20171126,227,1516454
20171127,144,769239
20171128,152,650870
20171129,161,656618
20171130,168,621053
