date,SW_large,SW_middle,SW_small,Z
2007-01-31,16,11.5,9.48,0.457310414
2007-02-28,16.94,12.61,10.7,0.90798508
2007-03-30,18.68,13.99,12.55,0.56160581
2007-04-30,22.35,18.01,16,0.988179858
2007-05-31,24.22,18.93,16.82,1.834887394
2007-06-29,24.24,17.86,14.82,1.029793951
2007-07-31,27.62,21.25,17.81,0.295744088
2007-08-31,31.71,24.48,19.47,0.413356233
2007-09-28,34.17,25.32,19.8,-0.009251242
2007-10-31,35.42,24.04,17.94,-0.662417878
2007-11-30,29.72,21.06,16.32,-1.157279518
2007-12-28,34.43,25.75,19.67,-1.01674694
2008-01-31,31.12,23.62,18.46,-0.891683707
2008-02-29,30.99,24.53,19.57,-1.121241808
2008-03-31,24.05,19.12,15.81,-1.197616586
2008-04-30,24.01,18.12,14.49,-0.859383475
2008-05-30,21.36,16.32,13.27,-0.791833867
2008-06-30,17.22,12.58,10.01,-1.283391681
2008-07-31,17.59,12.88,10.67,-1.267134779
2008-08-29,14.78,9.97,8.32,-1.222488925
2008-09-26,13.6,9.19,7.62,-1.141238572
2008-10-31,10.58,6.83,5.77,-1.121420624
2008-11-28,11.53,7.84,6.61,-0.880665899
2008-12-31,11.97,8.67,7.31,-0.440687091
2009-01-23,12.75,9.84,8.28,-0.291074135
2009-02-27,13.74,10.4,8.82,0.332149894
2009-03-31,16.02,12.39,10.71,0.914682543
2009-04-30,16.23,12.94,11.25,0.865700674
2009-05-27,16.09,13.06,11.5,0.463598022
2009-06-30,17.25,13.71,11.56,0.25363516
2009-07-31,19.48,15.94,13.22,0.752532019
2009-08-31,16.2,13.32,11.38,0.647060896
2009-09-30,17.53,14.24,11.88,-0.243928589
2009-10-30,19.81,17.19,13.89,-0.005807863
2009-11-30,22.12,19.62,15.92,0.563531317
2009-12-31,22.87,19.58,16.74,0.143895462
2010-01-29,21.49,19.05,16.62,-0.482816407
2010-02-26,22.49,20.48,17.71,-0.508570625
2010-03-31,22.83,21.64,19.05,-0.198244415
2010-04-30,21.46,19.58,18.19,-0.233369742
2010-05-31,19.78,18.8,16.23,-0.551013971
2010-06-30,17.99,17.26,14.81,-0.910323955
2010-07-30,19.3,19.19,16.64,-0.778632344
2010-08-31,21.16,21.29,18.96,-0.056939769
2010-09-30,21.54,21.91,19.32,-0.25595338
2010-10-29,23.37,24.52,20.98,-0.24852451
2010-11-30,23.98,26.56,22.01,0.347066065
2010-12-31,23.89,26.26,21.68,-0.254427446
2011-01-31,22.36,24.36,19.93,-1.044486594
2011-02-28,23.87,26.32,22.01,-0.906993313
2011-03-31,22.61,24.73,21.13,-0.648397953
2011-04-29,21.77,22.41,19.01,-0.879339654
2011-05-31,18.6,19.13,16.33,-1.182679895
2011-06-30,18.36,19.17,16.31,-1.123356057
2011-07-29,18.12,20.21,17.02,-0.970924916
2011-08-31,17.94,19.64,16.84,-0.94878958
2011-09-30,15.93,17.06,14.47,-1.262024776
2011-10-31,16.95,17.67,15.29,-1.177008426
2011-11-30,16.43,17.21,15.03,-0.741564063
2011-12-30,15.02,15.17,12.89,-0.934332322
