date,SW_large,SW_middle,SW_small
2007-01-04,1738.79,1253.76,1068.02
2007-01-05,1736.50,1279.78,1092.77
2007-01-08,1787.08,1336.73,1129.46
2007-01-09,1846.69,1369.01,1147.82
2007-01-10,1894.11,1405.33,1170.54
2007-01-11,1868.79,1415.65,1176.23
2007-01-12,1811.91,1373.43,1150.96
2007-01-15,1905.19,1439.51,1202.81
2007-01-16,1954.08,1492.52,1234.64
2007-01-17,1911.41,1482.22,1230.46
2007-01-18,1904.99,1514.73,1265.88
2007-01-19,1966.25,1568.92,1298.75
2007-01-22,2045.04,1629.94,1351.16
2007-01-23,2077.88,1626.86,1346.94
2007-01-24,2102.47,1649.69,1351.42
2007-01-25,2031.86,1584.29,1292.47
2007-01-26,2085.01,1599.12,1293.26
2007-01-29,2142.43,1653.09,1331.60
2007-01-30,2116.39,1648.64,1335.76
2007-01-31,1975.62,1575.63,1289.29
2007-02-01,1979.38,1590.64,1299.07
2007-02-02,1898.69,1561.14,1285.68
2007-02-05,1874.63,1573.93,1296.75
2007-02-06,1917.92,1594.30,1318.03
2007-02-07,1964.73,1629.48,1334.79
2007-02-08,1997.56,1663.11,1352.71
2007-02-09,1984.34,1674.36,1356.07
2007-02-12,2058.03,1719.52,1392.70
2007-02-13,2088.84,1755.80,1415.04
2007-02-14,2148.17,1800.28,1433.89
2007-02-15,2215.60,1851.37,1468.73
2007-02-16,2219.43,1876.26,1483.50
2007-02-26,2254.88,1928.06,1529.35
2007-02-27,2047.14,1756.65,1406.63
2007-02-28,2130.69,1821.42,1459.57
2007-03-01,2076.83,1778.63,1431.94
2007-03-02,2103.64,1811.90,1459.51
2007-03-05,2070.83,1817.90,1463.31
2007-03-06,2107.99,1820.51,1472.40
2007-03-07,2162.03,1870.30,1502.31
2007-03-08,2193.12,1910.31,1528.55
2007-03-09,2184.31,1908.69,1531.97
2007-03-12,2193.66,1940.99,1561.49
2007-03-13,2216.28,1958.06,1575.03
2007-03-14,2183.05,1937.04,1573.57
2007-03-15,2224.25,1985.14,1607.03
2007-03-16,2184.14,1960.52,1597.93
2007-03-19,2239.32,1987.63,1617.15
2007-03-20,2255.59,2018.79,1648.73
2007-03-21,2285.54,2046.00,1673.91
2007-03-22,2299.12,2052.73,1681.00
2007-03-23,2307.16,2064.53,1692.77
2007-03-26,2355.01,2109.72,1724.68
2007-03-27,2374.93,2145.02,1740.79
2007-03-28,2387.64,2123.41,1726.97
2007-03-29,2370.74,2057.91,1671.95
2007-03-30,2370.75,2077.22,1687.87
2007-04-02,2433.32,2121.73,1723.57
2007-04-03,2462.49,2153.24,1741.78
2007-04-04,2480.57,2173.37,1763.46
2007-04-05,2512.86,2212.35,1784.43
2007-04-06,2526.12,2254.46,1806.68
2007-04-09,2575.43,2290.71,1836.13
2007-04-10,2616.84,2293.89,1850.79
2007-04-11,2653.64,2318.30,1875.38
2007-04-12,2694.90,2366.19,1921.00
2007-04-13,2677.68,2352.30,1923.11
2007-04-16,2753.94,2419.48,1974.66
2007-04-17,2786.29,2468.30,2017.16
2007-04-18,2810.83,2518.36,2050.11
2007-04-19,2682.67,2381.01,1956.10
2007-04-20,2800.48,2504.32,2040.38
2007-04-23,2932.76,2608.35,2100.07
2007-04-24,2952.16,2620.26,2105.77
2007-04-25,2963.80,2607.15,2103.16
2007-04-26,3000.39,2640.71,2119.65
2007-04-27,2980.75,2639.15,2104.61
2007-04-30,3030.74,2683.47,2122.89
2007-05-08,3148.99,2798.41,2194.27
2007-05-09,3183.80,2794.26,2180.08
2007-05-10,3213.95,2808.01,2183.02
2007-05-11,3196.55,2802.66,2178.21
2007-05-14,3219.57,2820.62,2189.88
2007-05-15,3097.70,2743.39,2141.78
2007-05-16,3174.77,2827.44,2190.11
2007-05-17,3239.00,2899.22,2244.30
2007-05-18,3234.91,2916.49,2257.64
2007-05-21,3281.09,2998.81,2296.26
2007-05-22,3325.83,3036.49,2343.21
2007-05-23,3390.26,3116.82,2393.30
2007-05-24,3383.63,3092.64,2376.61
2007-05-25,3430.49,3139.93,2418.08
2007-05-28,3495.75,3201.07,2471.16
2007-05-29,3571.57,3271.38,2502.76
