date,SW_large,SW_middle,SW_small
1,1738.79,1253.76,1068.02
2,1736.5,1279.78,1092.77
3,1787.08,1336.73,1129.46
4,1846.69,1369.01,1147.82
5,1894.11,1405.33,1170.54
6,1868.79,1415.65,1176.23
7,1811.91,1373.43,1150.96
8,1905.19,1439.51,1202.81
9,1954.08,1492.52,1234.64
10,1911.41,1482.22,1230.46
11,1904.99,1514.73,1265.88
12,1966.25,1568.92,1298.75
13,2045.04,1629.94,1351.16
14,2077.88,1626.86,1346.94
15,2102.47,1649.69,1351.42
16,2031.86,1584.29,1292.47
17,2085.01,1599.12,1293.26
18,2142.43,1653.09,1331.6
19,2116.39,1648.64,1335.76
20,1975.62,1575.63,1289.29
21,1979.38,1590.64,1299.07
22,1898.69,1561.14,1285.68
23,1874.63,1573.93,1296.75
24,1917.92,1594.3,1318.03
25,1964.73,1629.48,1334.79
26,1997.56,1663.11,1352.71
27,1984.34,1674.36,1356.07
28,2058.03,1719.52,1392.7
29,2088.84,1755.8,1415.04
30,2148.17,1800.28,1433.89
31,2215.6,1851.37,1468.73
32,2219.43,1876.26,1483.5
33,2254.88,1928.06,1529.35
34,2047.14,1756.65,1406.63
35,2130.69,1821.42,1459.57
36,2076.83,1778.63,1431.94
37,2103.64,1811.9,1459.51
38,2070.83,1817.9,1463.31
39,2107.99,1820.51,1472.4
40,2162.03,1870.3,1502.31
41,2193.12,1910.31,1528.55
42,2184.31,1908.69,1531.97
43,2193.66,1940.99,1561.49
44,2216.28,1958.06,1575.03
45,2183.05,1937.04,1573.57
46,2224.25,1985.14,1607.03
47,2184.14,1960.52,1597.93
48,2239.32,1987.63,1617.15
49,2255.59,2018.79,1648.73
50,2285.54,2046,1673.91
51,2299.12,2052.73,1681
52,2307.16,2064.53,1692.77
53,2355.01,2109.72,1724.68
54,2374.93,2145.02,1740.79
55,2387.64,2123.41,1726.97
56,2370.74,2057.91,1671.95
57,2370.75,2077.22,1687.87
58,2433.32,2121.73,1723.57
59,2462.49,2153.24,1741.78
60,2480.57,2173.37,1763.46
61,2512.86,2212.35,1784.43
62,2526.12,2254.46,1806.68
63,2575.43,2290.71,1836.13
64,2616.84,2293.89,1850.79
65,2653.64,2318.3,1875.38
66,2694.9,2366.19,1921
67,2677.68,2352.3,1923.11
68,2753.94,2419.48,1974.66
69,2786.29,2468.3,2017.16
70,2810.83,2518.36,2050.11
71,2682.67,2381.01,1956.1
72,2800.48,2504.32,2040.38
73,2932.76,2608.35,2100.07
74,2952.16,2620.26,2105.77
75,2963.8,2607.15,2103.16
76,3000.39,2640.71,2119.65
77,2980.75,2639.15,2104.61
78,3030.74,2683.47,2122.89
79,3148.99,2798.41,2194.27
80,3183.8,2794.26,2180.08
81,3213.95,2808.01,2183.02
82,3196.55,2802.66,2178.21
