date,SW_large,SW_middle,SW_small
2007-1-4,13.41,9.29,7.59
2007-1-5,13.48,9.46,7.78
2007-1-8,13.81,9.77,8.09
2007-1-9,14.44,10,8.25
2007-1-10,14.68,10.26,8.48
2007-1-11,14.67,10.27,8.52
2007-1-12,14.5,10.05,8.3
2007-1-15,15.29,10.58,8.73
2007-1-16,15.9,10.96,9.02
2007-1-17,15.73,10.86,8.96
2007-1-18,15.97,11.12,9.16
2007-1-19,16.53,11.55,9.49
2007-1-22,17.07,12.04,9.93
2007-1-23,16.83,12.02,9.92
2007-1-24,16.95,12.07,10
2007-1-25,16.5,11.59,9.58
2007-1-26,16.69,11.8,9.68
2007-1-29,16.96,12.13,9.99
2007-1-30,16.9,12.12,9.96
2007-1-31,16,11.5,9.48
2007-2-1,16.19,11.58,9.54
2007-2-2,15.71,11.24,9.36
2007-2-5,15.64,11.26,9.45
2007-2-6,15.83,11.39,9.61
2007-2-7,16.23,11.61,9.79
2007-2-8,16.48,11.9,9.97
2007-2-9,16.41,11.91,10
2007-2-12,17.01,12.25,10.23
2007-2-13,17.25,12.43,10.43
2007-2-14,17.59,12.65,10.63
2007-2-15,18.12,13.02,10.89
2007-2-16,18.19,13.14,10.99
2007-2-26,18.12,13.41,11.3
2007-2-27,16.5,12.25,10.33
2007-2-28,16.94,12.61,10.7
2007-3-1,16.88,12.23,10.37
2007-3-2,17.11,12.45,10.6
2007-3-5,16.99,12.46,10.65
2007-3-6,17.25,12.57,10.74
2007-3-7,17.76,12.93,10.99
2007-3-8,17.99,13.23,11.2
2007-3-9,17.84,13.21,11.16
2007-3-12,17.8,13.35,11.35
2007-3-13,17.92,13.44,11.47
2007-3-14,17.64,13.35,11.42
2007-3-15,17.93,13.58,11.69
2007-3-16,17.79,13.39,11.49
2007-3-19,18.13,13.46,11.6
2007-3-20,18.06,13.51,11.81
2007-3-21,18.17,13.7,11.98
2007-3-22,18.23,13.71,12.03
2007-3-23,18.17,13.79,12.12
2007-3-26,18.42,14.06,12.41
2007-3-27,18.58,14.21,12.58
2007-3-28,18.57,14.16,12.71
2007-3-29,18.69,13.85,12.41
2007-3-30,18.68,13.99,12.55
2007-4-2,18.67,14.31,12.78
2007-4-3,19.06,14.58,12.92
2007-4-4,19.29,14.74,13.01
2007-4-5,19.49,14.97,13.19
2007-4-6,19.36,15.22,13.31
2007-4-9,19.86,15.53,13.52
2007-4-10,20.04,15.76,13.67
2007-4-11,20.21,16.02,13.83
2007-4-12,20.63,16.03,14.18
2007-4-13,20.8,16.01,14.17
2007-4-16,21.23,16.46,14.58
2007-4-17,21.32,16.64,14.88
2007-4-18,21.46,16.85,15.15
2007-4-19,20.65,16.09,14.34
2007-4-20,21.49,16.87,15.11
2007-4-23,21.89,17.48,15.65
2007-4-24,21.92,17.6,15.78
2007-4-25,21.88,17.45,15.73
2007-4-26,22.14,17.59,15.91
2007-4-27,21.89,17.48,15.84
2007-4-30,22.35,18.01,16
2007-5-8,22.85,18.65,16.59
2007-5-9,22.58,18.53,16.54
2007-5-10,22.52,18.57,16.62
2007-5-11,22.45,18.55,16.52
2007-5-14,22.61,18.72,16.58
2007-5-15,21.96,18.23,16.15
2007-5-16,22.4,18.73,16.61
2007-5-17,22.94,18.91,17.01
2007-5-18,23.14,18.8,17.07
2007-5-21,23.45,19.1,17.52
2007-5-22,23.61,18.95,17.78
2007-5-23,24.2,19.34,18.14
2007-5-24,24.01,19.22,17.93
2007-5-25,24.55,19.58,18.11
2007-5-28,25.07,20.09,18.43
2007-5-29,25.69,20.54,18.77
2007-5-30,23.91,19.1,17.4
2007-5-31,24.22,18.93,16.82
2007-6-1,23.57,18.2,15.94
2007-6-4,21.97,16.73,14.65
2007-6-5,22.56,17.1,14.77
2007-6-6,22.86,17.45,15.09
2007-6-7,23.58,18.17,15.8
2007-6-8,23.96,18.63,16.03
2007-6-11,24.61,19.21,16.46
2007-6-12,25.18,19.83,16.97
2007-6-13,25.58,20.17,17.46
2007-6-14,25.43,20.05,17.33
2007-6-15,25.69,20.17,17.41
2007-6-18,26.3,20.74,17.84
2007-6-19,26.37,20.96,18.1
2007-6-20,25.95,20.48,17.56
2007-6-21,26.28,20.52,17.43
2007-6-22,25.52,19.69,16.62
2007-6-25,24.67,18.65,15.71
2007-6-26,24.8,19.03,15.95
2007-6-27,25.41,19.52,16.32
2007-6-28,24.41,18.53,15.41
2007-6-29,24.24,17.86,14.82
2007-7-2,24.05,17.87,14.93
2007-7-3,24.45,18.25,15.13
2007-7-4,23.93,17.87,14.81
2007-7-5,22.77,16.79,13.93
2007-7-6,23.8,17.58,14.63
2007-7-9,24.44,18.1,15.06
2007-7-10,24.12,17.7,14.7
2007-7-11,24.06,17.8,14.88
2007-7-12,24.2,17.9,14.98
2007-7-13,24.26,17.88,15.04
2007-7-16,23.64,17.43,14.72
2007-7-17,24.07,17.71,15.01
2007-7-18,24.18,17.75,15.01
2007-7-19,24.16,17.85,15.11
2007-7-20,24.99,18.54,15.59
2007-7-23,25.96,19.38,16.27
2007-7-24,25.9,19.39,16.33
2007-7-25,26.37,19.81,16.74
2007-7-26,26.62,20.16,16.99
2007-7-27,26.7,20.41,17.3
2007-7-30,27.24,20.91,17.62
2007-7-31,27.62,21.25,17.81
2007-8-1,26.74,20.36,17.1
2007-8-2,27.7,21.12,17.78
2007-8-3,28.69,21.69,18.1
2007-8-6,29.25,22.14,18.35
2007-8-7,29.57,22.18,18.37
2007-8-8,29.19,22.05,18.09
2007-8-9,29.83,22.24,18.1
2007-8-10,29.19,21.87,17.7
2007-8-13,28.96,22.04,17.63
2007-8-14,29.5,22.56,18.04
2007-8-15,29.58,22.51,18
2007-8-16,29.11,22.46,18.2
2007-8-17,28.61,22.19,18.08
2007-8-20,29.95,23.12,18.73
2007-8-21,29.87,23.37,19.01
2007-8-22,30.41,23.66,19.23
2007-8-23,30.89,23.91,19.34
