division_nm,mchnt_brand,settle_dt,total_trans_cnt,cloudpay_trans_cnt,
福建分公司,中闵百汇,20171001,341,341,
福建分公司,中闵百汇,20171002,378,378,
福建分公司,中闵百汇,20171003,408,408,
福建分公司,中闵百汇,20171004,356,356,
福建分公司,中闵百汇,20171005,261,261,
福建分公司,中闵百汇,20171006,290,290,
福建分公司,中闵百汇,20171007,389,389,
福建分公司,中闵百汇,20171008,468,468,
福建分公司,中闵百汇,20171009,35,35,
福建分公司,中闵百汇,20171010,27,27,
福建分公司,中闵百汇,20171011,26,26,
福建分公司,中闵百汇,20171012,27,27,
福建分公司,中闵百汇,20171013,26,26,
福建分公司,中闵百汇,20171014,18,18,
福建分公司,中闵百汇,20171015,28,28,
福建分公司,中闵百汇,20171016,18,18,
福建分公司,中闵百汇,20171017,17,17,
福建分公司,中闵百汇,20171018,12,12,
福建分公司,中闵百汇,20171019,13,13,
福建分公司,中闵百汇,20171020,12,12,
福建分公司,中闵百汇,20171021,609,609,
福建分公司,中闵百汇,20171022,713,713,
福建分公司,中闵百汇,20171023,909,909,
福建分公司,中闵百汇,20171024,1415,1415,
福建分公司,中闵百汇,20171025,1285,1285,
福建分公司,中闵百汇,20171026,2155,2155,
福建分公司,中闵百汇,20171027,1374,1374,
福建分公司,中闵百汇,20171028,2440,2440,
福建分公司,中闵百汇,20171029,1667,1667,
福建分公司,中闵百汇,20171030,2693,2693,
福建分公司,中闵百汇,20171031,1496,1496,
福建分公司,中闵百汇,20171101,1952,1952,
福建分公司,中闵百汇,20171102,3763,3763,
福建分公司,中闵百汇,20171103,3206,3206,
福建分公司,中闵百汇,20171104,5537,5537,
福建分公司,中闵百汇,20171105,3833,3833,
福建分公司,中闵百汇,20171106,5720,5720,
福建分公司,中闵百汇,20171107,3273,3273,
福建分公司,中闵百汇,20171108,5641,5641,
福建分公司,中闵百汇,20171109,3660,3660,
福建分公司,中闵百汇,20171110,7227,7227,
福建分公司,中闵百汇,20171111,4605,4605,
福建分公司,中闵百汇,20171112,8405,8405,
福建分公司,中闵百汇,20171113,4120,4120,
